Названия;Описание товара;в наличии товара;Ссылка
Сотовый телефон Apple iPhone 11 64GB белый;55520 сом-3%54000 сом;"Сотовый телефон Apple iPhone 11 64GB белыйсмартфон с iOS 13, поддержка двух SIM-карт (nano SIM+eSIM), экран 6.1"", разрешение 1792x828, двойная камера 12 МП/12 МП, автофокус, память 64 Гб, без слота для карт памяти, 3G, 4G LTE,...";На складе;https://www.kivano.kg/product/view/sotovyy-telefon-apple-iphone-11-64gb-belyy
Сотовый телефон Apple iPhone 11 64GB красный;55520 сом-3%54000 сом;"Сотовый телефон Apple iPhone 11 64GB красныйсмартфон с iOS 13, поддержка двух SIM-карт (nano SIM+eSIM), экран 6.1"", разрешение 1792x828, двойная камера 12 МП/12 МП, автофокус, память 64 Гб, без слота для карт памяти, 3G, 4G LTE,...";На складе;https://www.kivano.kg/product/view/sotovyy-telefon-apple-iphone-11-64gb-krasnyy
Сотовый телефон BRAVIS A504 Trace черный;7390 сом;"Сотовый телефон BRAVIS A504 Trace черныйсмартфон, Android 6.0
	поддержка двух SIM-карт
	экран 5"", разрешение 1280x720
	камера 8 МП
	память 8 Гб, слот для карты памяти
	3G, Wi-Fi, Bluetooth, GPS
	объем оперативной памяти 1 Гб
	аккумулятор 2300 мА⋅ч
	вес 178 г, ШxВxТ 71.30x141x8.70 мм";На складе;https://www.kivano.kg/product/view/sotovyy-telefon-bravis-a504-trace-chernyy
Сотовый телефон BRAVIS A504 Trace золотой;7390 сом;"Сотовый телефон BRAVIS A504 Trace золотойсмартфон, Android 6.0
	поддержка двух SIM-карт
	экран 5"", разрешение 1280x720
	камера 8 МП
	память 8 Гб, слот для карты памяти
	3G, Wi-Fi, Bluetooth, GPS
	объем оперативной памяти 1 Гб
	аккумулятор 2300 мА⋅ч
	вес 178 г, ШxВxТ 71.30x141x8.70 мм";На складе;https://www.kivano.kg/product/view/sotovyy-telefon-bravis-a504-trace-zolotoy
Сотовый телефон BRAVIS A504 Trace белый;7390 сом;"Сотовый телефон BRAVIS A504 Trace белыйсмартфон, Android 6.0
	поддержка двух SIM-карт
	экран 5"", разрешение 1280x720
	камера 8 МП
	память 8 Гб, слот для карты памяти
	3G, Wi-Fi, Bluetooth, GPS
	объем оперативной памяти 1 Гб
	аккумулятор 2300 мА⋅ч
	вес 178 г, ШxВxТ 71.30x141x8.70 мм";На складе;https://www.kivano.kg/product/view/sotovyy-telefon-bravis-a504-trace-belyy
Сотовый телефон Philips S326 серый;9420 сом;"Сотовый телефон Philips S326 серыйсмартфон, Android 5.1
	поддержка двух SIM-карт
	экран 5"", разрешение 1280x720
	камера 8 МП, автофокус
	память 8 Гб, слот для карты памяти
	3G, 4G LTE, LTE-A, Wi-Fi, Bluetooth, GPS
	объем оперативной памяти 1 Гб
	аккумулятор 3000 мА⋅ч
	вес 154...";На складе;https://www.kivano.kg/product/view/sotovyy-telefon-philips-s326-seryy
Сотовый телефон BRAVIS A505 Joy Plus синий;7470 сом;"Сотовый телефон BRAVIS A505 Joy Plus синийсмартфон, Android 6.0
	поддержка двух SIM-карт
	экран 5"", разрешение 1280x720
	камера 8 МП
	память 8 Гб, слот для карты памяти
	3G, Wi-Fi, Bluetooth, GPS
	объем оперативной памяти 1 Гб
	аккумулятор 2500 мА⋅ч
	вес 152 г, ШxВxТ 70x142x8.20 мм";На складе;https://www.kivano.kg/product/view/sotovyy-telefon-bravis-a505-joy-plus-siniy
Сотовый телефон BRAVIS A505 Joy Plus белый;7470 сом;"Сотовый телефон BRAVIS A505 Joy Plus белыйсмартфон, Android 6.0
	поддержка двух SIM-карт
	экран 5"", разрешение 1280x720
	камера 8 МП
	память 8 Гб, слот для карты памяти
	3G, Wi-Fi, Bluetooth, GPS
	объем оперативной памяти 1 Гб
	аккумулятор 2500 мА⋅ч
	вес 152 г, ШxВxТ 70x142x8.20 мм";На складе;https://www.kivano.kg/product/view/sotovyy-telefon-bravis-a505-joy-plus-belyy
Сотовый телефон Ergo A551 Sky синий;8230 сом;"Сотовый телефон Ergo A551 Sky синийсмартфон, Android 6.0
	поддержка двух SIM-карт
	экран 5.5"", разрешение 1280x720
	камера 13 МП
	память 8 Гб, слот для карты памяти
	3G, 4G LTE, LTE-A, Wi-Fi, Bluetooth, GPS
	объем оперативной памяти 1 Гб
	аккумулятор 3000 мА⋅ч";На складе;https://www.kivano.kg/product/view/sotovyy-telefon-ergo-a551-sky-siniy
Сотовый телефон Ergo A551 Sky золотой;8230 сом;"Сотовый телефон Ergo A551 Sky золотойсмартфон, Android 6.0
	поддержка двух SIM-карт
	экран 5.5"", разрешение 1280x720
	камера 13 МП
	память 8 Гб, слот для карты памяти
	3G, 4G LTE, LTE-A, Wi-Fi, Bluetooth, GPS
	объем оперативной памяти 1 Гб
	аккумулятор 3000 мА⋅ч";На складе;https://www.kivano.kg/product/view/sotovyy-telefon-ergo-a551-sky-zolotoy
Сотовый телефон Apple iPhone 12 Pro 128GB графитовый;87110 сом-0%86680 сом;"Сотовый телефон Apple iPhone 12 Pro 128GB графитовыйiOS 14, поддержка SIM-карт (nano SIM+eSIM), экран 6.1"", разрешение 2532x1170, 3 камеры: сверхширокоугольная (12 МП), широкоугольная, телефото, процессор Apple A14 Bionic, память 128 ГБ, без слота для карт памяти, 3G,...";На складе;https://www.kivano.kg/product/view/sotovyy-telefon-apple-iphone-12-pro-128gb-grafitovyy
Сотовый телефон Apple iPhone 12 Pro 128GB золотой;87110 сом-0%86680 сом;"Сотовый телефон Apple iPhone 12 Pro 128GB золотойiOS 14, поддержка SIM-карт (nano SIM+eSIM), экран 6.1"", разрешение 2532x1170, 3 камеры: сверхширокоугольная (12 МП), широкоугольная, телефото, процессор Apple A14 Bionic, память 128 ГБ, без слота для карт памяти, 3G,...";На складе;https://www.kivano.kg/product/view/sotovyy-telefon-apple-iphone-12-pro-128gb-zolotoy
Сотовый телефон Apple iPhone 12 Pro 128GB синий;87110 сом-0%86680 сом;"Сотовый телефон Apple iPhone 12 Pro 128GB синийiOS 14, поддержка SIM-карт (nano SIM+eSIM), экран 6.1"", разрешение 2532x1170, 3 камеры: сверхширокоугольная (12 МП), широкоугольная, телефото, процессор Apple A14 Bionic, память 128 ГБ, без слота для карт памяти, 3G,...";На складе;https://www.kivano.kg/product/view/sotovyy-telefon-apple-iphone-12-pro-128gb-siniy
Сотовый телефон Samsung Galaxy A52 (2021) 4/128GB (SM-A525F/DS) голубой;28270 сом;"Сотовый телефон Samsung Galaxy A52 (2021) 4/128GB (SM-A525F/DS) голубойэкран: 6.5"" (2400x1080) 90 Гц, оперативная память: 4 ГБ, память: 128 ГБ, слот для карты памяти, 4 камеры: 64 МП, 12 МП, 5 МП, 5 МП, аккумулятор: 4500 мА·ч, процессор:...";На складе;https://www.kivano.kg/product/view/sotovyy-telefon-samsung-galaxy-a52-2021-4-128gb-sm-a525f-ds-goluboy
Сотовый телефон Samsung Galaxy A52 (2021) 4/128GB (SM-A525F/DS) белый;28270 сом;"Сотовый телефон Samsung Galaxy A52 (2021) 4/128GB (SM-A525F/DS) белыйэкран: 6.5"" (2400x1080) 90 Гц, оперативная память: 4 ГБ, память: 128 ГБ, слот для карты памяти, 4 камеры: 64 МП, 12 МП, 5 МП, 5 МП, аккумулятор: 4500 мА·ч, процессор:...";На складе;https://www.kivano.kg/product/view/sotovyy-telefon-samsung-galaxy-a52-2021-4-128gb-sm-a525f-ds-belyy
Сотовый телефон Samsung Galaxy A32 (2021) 4/128GB (SM-A325F/DS) лавандовый;21900 сом;"Сотовый телефон Samsung Galaxy A32 (2021) 4/128GB (SM-A325F/DS) лавандовыйэкран: 6.4"" (2400x1080) 90 Гц, оперативная память: 4 ГБ, память: 128 ГБ, слот для карты памяти, 4 камеры: 64 МП, 8 МП, 5 МП, 5 МП, аккумулятор: 5000 мА·ч, процессор:...";На складе;https://www.kivano.kg/product/view/sotovyy-telefon-samsung-galaxy-a32-2021-4-128gb-sm-a325f-ds-lavandovyy
Сотовый телефон Samsung Galaxy A32 (2021) 4/128GB (SM-A325F/DS) белый;21900 сом;"Сотовый телефон Samsung Galaxy A32 (2021) 4/128GB (SM-A325F/DS) белыйэкран: 6.4"" (2400x1080) 90 Гц, оперативная память: 4 ГБ, память: 128 ГБ, слот для карты памяти, 4 камеры: 64 МП, 8 МП, 5 МП, 5 МП, аккумулятор: 5000 мА·ч, процессор:...";На складе;https://www.kivano.kg/product/view/sotovyy-telefon-samsung-galaxy-a32-2021-4-128gb-sm-a325f-ds-belyy
